"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"ornithine transport (GO:0015822)","2/5",0.00154217700622151,0.191094390360252,0,0,52.6533333333333,340.907177471564,"SLC7A6;SLC7A1"
"protein methylation (GO:0006479)","4/41",0.00172817258365486,0.191094390360252,0,0,8.5924149956408,54.6536944865884,"NSD1;EHMT1;RAB6A;GSPT1"
"regulation of glycolytic process (GO:0006110)","5/71",0.00201996238513449,0.191094390360252,0,0,6.03668261562998,37.4556620928625,"HDAC4;NCOR1;NUP210;NUP153;NUP98"
"regulation of cardiac muscle cell proliferation (GO:0060043)","3/21",0.00222258353367404,0.191094390360252,0,0,13.2061579651941,80.6775416097553,"PIM1;TGFBR1;RUNX1"
"pteridine-containing compound biosynthetic process (GO:0042559)","2/6",0.0022940503044448,0.191094390360252,0,0,39.488,239.985805870606,"GCH1;MTHFS"
"COPI coating of Golgi vesicle (GO:0048205)","2/6",0.0022940503044448,0.191094390360252,0,0,39.488,239.985805870606,"GBF1;ARFGAP3"
"COPI-coated vesicle budding (GO:0035964)","2/6",0.0022940503044448,0.191094390360252,0,0,39.488,239.985805870606,"GBF1;ARFGAP3"
"Golgi transport vesicle coating (GO:0048200)","2/6",0.0022940503044448,0.191094390360252,0,0,39.488,239.985805870606,"GBF1;ARFGAP3"
"signal complex assembly (GO:0007172)","2/6",0.0022940503044448,0.191094390360252,0,0,39.488,239.985805870606,"PXN;NCK2"
"organelle organization (GO:0006996)","13/420",0.00270870094376998,0.214890274872419,0,0,2.58481798649163,15.2795986748004,"PITPNB;FAF2;GBF1;MICAL2;HTT;NEDD9;LARP4;SYNE3;FMNL2;OPA1;DPYSL2;PACSIN2;RAB7A"
"regulation of Rab protein signal transduction (GO:0032483)","2/7",0.00318501824115639,0.218133108320955,0,0,31.5888,181.613401374086,"DENND1A;DENND3"
"positive regulation of oxidative stress-induced cell death (GO:1903209)","2/7",0.00318501824115639,0.218133108320955,0,0,31.5888,181.613401374086,"SFPQ;RIPK1"
"regulation of cellular response to heat (GO:1900034)","5/79",0.00322397212684112,0.218133108320955,0,0,5.38187985556407,30.8766041140583,"RPTOR;NUP210;NUP153;NUP98;ATR"
"cellular amide metabolic process (GO:0043603)","6/115",0.00338267627965326,0.218133108320955,0,0,4.39449541284404,25.0006714887572,"ACOT9;NLN;PC;MTHFD2;MTHFS;NSMAF"
"negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)","5/80",0.00340423818508093,0.218133108320955,0,0,5.30985155195682,30.1744744728278,"EYA3;BCL2;HTT;RIPK1;TGFBR1"
"histone lysine demethylation (GO:0070076)","3/26",0.00414813948228655,0.21926040243595,0,0,10.3326348873756,56.6754877060963,"KDM5D;KDM2A;RIOX2"
"TOR signaling (GO:0031929)","3/26",0.00414813948228655,0.21926040243595,0,0,10.3326348873756,56.6754877060963,"RPTOR;LARP1;MAPKAP1"
"basic amino acid transport (GO:0015802)","2/8",0.00421148432049843,0.21926040243595,0,0,26.3226666666667,143.983410550579,"SLC7A6;SLC7A1"
"histone H3-K4 demethylation (GO:0034720)","2/8",0.00421148432049843,0.21926040243595,0,0,26.3226666666667,143.983410550579,"KDM5D;RIOX2"
"TORC1 signaling (GO:0038202)","2/8",0.00421148432049843,0.21926040243595,0,0,26.3226666666667,143.983410550579,"RPTOR;LARP1"
"negative regulation by symbiont of host programmed cell death (GO:0052041)","2/8",0.00421148432049843,0.21926040243595,0,0,26.3226666666667,143.983410550579,"SFPQ;RAB7A"
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)","5/85",0.00441570151626497,0.222926022002953,0,0,4.97672064777328,26.9867084694309,"PITPNB;GBF1;HTT;ARFGAP3;RAB6A"
"retrograde transport, endosome to Golgi (GO:0042147)","5/88",0.0051162567977815,0.234919564033144,0,0,4.79610750695088,25.3010603732437,"VPS53;TRAPPC10;GBF1;RAB6A;RAB7A"
"regulation of transmembrane transporter activity (GO:0022898)","2/9",0.0053699199422392,0.234919564033144,0,0,22.5611428571429,117.92579146048,"BCL2;PIM1"
"tetrahydrofolate interconversion (GO:0035999)","2/9",0.0053699199422392,0.234919564033144,0,0,22.5611428571429,117.92579146048,"MTHFD2;MTHFS"
"regulation of ATP metabolic process (GO:1903578)","4/56",0.00541130012898604,0.234919564033144,0,0,6.10918114143921,31.8854407803657,"NUP210;BEND3;NUP153;NUP98"
"establishment of mitotic spindle localization (GO:0040001)","3/29",0.00567025898399933,0.234919564033144,0,0,9.13901760889713,47.2717558048056,"HTT;KPNB1;PAFAH1B1"
"transition metal ion homeostasis (GO:0055076)","3/29",0.00567025898399933,0.234919564033144,0,0,9.13901760889713,47.2717558048056,"XIAP;COMMD1;FBXL5"
"positive regulation of gene expression, epigenetic (GO:0045815)","4/57",0.00576316470463236,0.234919564033144,0,0,5.99360925136945,30.9046587475727,"TAF1D;POLR1A;DDX21;ARID1A"
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)","3/30",0.00624238067256696,0.234919564033144,0,0,8.80008924587238,44.6727171788023,"UTP4;HEATR1;UTP20"
"formation of translation preinitiation complex (GO:0001731)","2/10",0.00665686328288983,0.234919564033144,0,0,19.74,98.9389898885836,"EIF2S2;EIF4B"
"histone H3-K36 demethylation (GO:0070544)","2/10",0.00665686328288983,0.234919564033144,0,0,19.74,98.9389898885836,"KDM2A;RIOX2"
"negative regulation of glycolytic process (GO:0045820)","2/10",0.00665686328288983,0.234919564033144,0,0,19.74,98.9389898885836,"HDAC4;NCOR1"
"negative regulation of purine nucleotide metabolic process (GO:1900543)","2/10",0.00665686328288983,0.234919564033144,0,0,19.74,98.9389898885836,"HDAC4;NCOR1"
"nuclear pore complex assembly (GO:0051292)","2/10",0.00665686328288983,0.234919564033144,0,0,19.74,98.9389898885836,"NUP153;NUP98"
"positive regulation of rRNA processing (GO:2000234)","2/10",0.00665686328288983,0.234919564033144,0,0,19.74,98.9389898885836,"UTP15;HEATR1"
"organelle transport along microtubule (GO:0072384)","3/31",0.00684772524765717,0.234919564033144,0,0,8.48537005163511,42.2897161774361,"HTT;RAB6A;PAFAH1B1"
"cellular protein catabolic process (GO:0044257)","4/60",0.00690939894215128,0.234919564033144,0,0,5.67165898617511,28.2157810499582,"DENND3;RIPK1;AP2B1;RAB7A"
"DNA damage checkpoint signaling (GO:0000077)","3/32",0.00748674912805271,0.249458480946716,0,0,8.19235562941421,40.0984726587634,"MAP3K20;TP53BP1;ATR"
"tetrahydrofolate metabolic process (GO:0046653)","2/11",0.00806891819231772,0.257665308888767,0,0,17.5457777777778,84.5660143240345,"MTHFD2;MTHFS"
"nucleus localization (GO:0051647)","2/11",0.00806891819231772,0.257665308888767,0,0,17.5457777777778,84.5660143240345,"SYNE3;PAFAH1B1"
"actin cytoskeleton reorganization (GO:0031532)","4/63",0.00819703563691757,0.257665308888767,0,0,5.3824494259158,25.8571939136923,"GPR65;DTNBP1;NEDD9;GRB2"
"mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)","5/99",0.00835985284146645,0.257916941368206,0,0,4.2324920320441,20.2495728084629,"NUP210;NUP153;NUP98;SMG5;WDR33"
"negative regulation of programmed cell death (GO:0043069)","11/381",0.00924822662007196,0.276868893677171,0,0,2.39046764606931,11.195333213391,"AVEN;BABAM2;OPA1;BCL2A1;PIM1;BCL2;PLAUR;XIAP;RIPK1;NAIP;RAB7A"
"chromatin organization (GO:0006325)","6/142",0.00930651743452675,0.276868893677171,0,0,3.51721664275466,16.4501640694206,"HDAC4;SETD5;PBRM1;KDM5D;EHMT1;ARID1A"
"early endosome to Golgi transport (GO:0034498)","2/12",0.00960275309806094,0.280669941427535,0,0,15.7904,73.3575471888422,"TRAPPC10;RAB6A"
"mRNA transport (GO:0051028)","5/104",0.0102216164268995,0.291552273892895,0,0,4.01770743876007,18.4141598027684,"NUP210;NUP153;NUP98;SMG5;WDR33"
"axonal transport (GO:0098930)","3/36",0.0103876049904904,0.291552273892895,0,0,7.19788243884629,32.873751280033,"OPA1;DTNBP1;PAFAH1B1"
"regulation of JNK cascade (GO:0046328)","5/105",0.0106253838613229,0.291552273892895,0,0,3.97732793522267,18.075004334469,"NCOR1;TAOK3;RIPK1;EDA2R;HIPK2"
"regulation of translational initiation (GO:0006446)","4/68",0.0106750832577831,0.291552273892895,0,0,4.96068548387097,22.5207328751454,"CDC123;LARP1;NCK2;EIF4B"
"RNA export from nucleus (GO:0006405)","5/106",0.0110399307665093,0.296653623500073,0,0,3.93774802581473,17.7444239183597,"NUP210;NUP153;NUP98;SMG5;WDR33"
"purine ribonucleoside triphosphate metabolic process (GO:0009205)","2/13",0.0112550999332204,0.297634864900716,0,0,14.3541818181818,64.4062653750369,"OPA1;GNAI3"
"mRNA export from nucleus (GO:0006406)","5/107",0.0114653856944475,0.298458321358587,0,0,3.89894419306184,17.4221308248858,"NUP210;NUP153;NUP98;SMG5;WDR33"
"ventricular septum development (GO:0003281)","3/38",0.0120495856005911,0.30884014785515,0,0,6.78588640275387,29.9849659603517,"MDM4;TGFBR1;ROBO1"
"DNA integrity checkpoint signaling (GO:0031570)","3/39",0.0129344296405063,0.309941523250822,0,0,6.59705488621151,28.6830879367548,"MAP3K20;TP53BP1;ATR"
"quinone biosynthetic process (GO:1901663)","2/14",0.0130227530777656,0.309941523250822,0,0,13.1573333333333,57.1167367922071,"PDSS2;COQ8A"
"cellular copper ion homeostasis (GO:0006878)","2/14",0.0130227530777656,0.309941523250822,0,0,13.1573333333333,57.1167367922071,"ARF1;SLC31A1"
"nuclear migration (GO:0007097)","2/14",0.0130227530777656,0.309941523250822,0,0,13.1573333333333,57.1167367922071,"SYNE3;PAFAH1B1"
"nuclear pore organization (GO:0006999)","2/14",0.0130227530777656,0.309941523250822,0,0,13.1573333333333,57.1167367922071,"NUP153;NUP98"
"positive regulation of JNK cascade (GO:0046330)","4/73",0.0135917886385934,0.318928448899953,0,0,4.60004675081814,19.772332396287,"TAOK3;RIPK1;EDA2R;HIPK2"
"GTP metabolic process (GO:0046039)","2/15",0.0149025683146405,0.33103571749588,0,0,12.1446153846154,51.082944899777,"OPA1;GNAI3"
"histone H3 deacetylation (GO:0070932)","2/15",0.0149025683146405,0.33103571749588,0,0,12.1446153846154,51.082944899777,"HDAC4;SFPQ"
"ubiquinone biosynthetic process (GO:0006744)","2/15",0.0149025683146405,0.33103571749588,0,0,12.1446153846154,51.082944899777,"PDSS2;COQ8A"
"ubiquinone metabolic process (GO:0006743)","2/15",0.0149025683146405,0.33103571749588,0,0,12.1446153846154,51.082944899777,"PDSS2;COQ8A"
"water-soluble vitamin metabolic process (GO:0006767)","4/76",0.0155624608706733,0.335881041666085,0,0,4.40770609318996,18.348811570185,"PC;MTHFD2;SLC25A19;MTHFS"
"protein import into nucleus (GO:0006606)","4/76",0.0155624608706733,0.335881041666085,0,0,4.40770609318996,18.348811570185,"HEATR3;NUP153;KPNB1;KPNA1"
"regulation of carbohydrate catabolic process (GO:0043470)","3/43",0.0168374911402103,0.335881041666085,0,0,5.93614457831325,24.2440886349004,"NUP210;NUP153;NUP98"
"regulation of purine nucleotide metabolic process (GO:1900542)","3/43",0.0168374911402103,0.335881041666085,0,0,5.93614457831325,24.2440886349004,"NUP210;NUP153;NUP98"
"apoptotic DNA fragmentation (GO:0006309)","2/16",0.0168914617995133,0.335881041666085,0,0,11.2765714285714,46.019090383245,"KPNB1;KPNA1"
"regulation of rRNA processing (GO:2000232)","2/16",0.0168914617995133,0.335881041666085,0,0,11.2765714285714,46.019090383245,"UTP15;HEATR1"
"negative regulation of DNA replication (GO:0008156)","2/16",0.0168914617995133,0.335881041666085,0,0,11.2765714285714,46.019090383245,"GTPBP4;ATR"
"regulation of cellular response to stress (GO:0080135)","5/118",0.0169002262726519,0.335881041666085,0,0,3.51743040378345,14.3526224511241,"RPTOR;NUP210;NUP153;NUP98;ATR"
"rRNA metabolic process (GO:0016072)","6/162",0.0169351785713992,0.335881041666085,0,0,3.06316447779862,12.4926943664367,"UTP15;NOP58;UTP4;HEATR1;UTP20;MDN1"
"cation transmembrane transport (GO:0098655)","3/44",0.0179049196749067,0.336908184759888,0,0,5.79106670584778,23.2956068364079,"SLC25A19;SLC3A2;SLC7A1"
"positive regulation of stress fiber assembly (GO:0051496)","3/44",0.0179049196749067,0.336908184759888,0,0,5.79106670584778,23.2956068364079,"GPR65;PXN;TGFBR1"
"cellular response to gamma radiation (GO:0071480)","2/17",0.0189864090515851,0.336908184759888,0,0,10.5242666666667,41.718528462928,"MAP3K20;ATR"
"regulation of metal ion transport (GO:0010959)","2/17",0.0189864090515851,0.336908184759888,0,0,10.5242666666667,41.718528462928,"STIM1;BCL2"
"diol biosynthetic process (GO:0034312)","2/17",0.0189864090515851,0.336908184759888,0,0,10.5242666666667,41.718528462928,"GCH1;ACER3"
"stabilization of membrane potential (GO:0030322)","2/17",0.0189864090515851,0.336908184759888,0,0,10.5242666666667,41.718528462928,"KCNK13;KCNN4"
"negative regulation of ATP metabolic process (GO:1903579)","2/17",0.0189864090515851,0.336908184759888,0,0,10.5242666666667,41.718528462928,"HDAC4;NCOR1"
"amino acid transmembrane transport (GO:0003333)","3/45",0.0190092253105819,0.336908184759888,0,0,5.65289730349971,22.4014759674631,"SLC7A6;SLC3A2;SLC7A1"
"regulation of DNA repair (GO:0006282)","3/45",0.0190092253105819,0.336908184759888,0,0,5.65289730349971,22.4014759674631,"BABAM2;EYA3;WRNIP1"
"positive regulation of RNA metabolic process (GO:0051254)","3/45",0.0190092253105819,0.336908184759888,0,0,5.65289730349971,22.4014759674631,"UTP15;HEATR1;RIPK1"
"regulation of gene expression, epigenetic (GO:0040029)","4/82",0.0200209894594463,0.346213344388581,0,0,4.06741108354012,15.9075393316871,"HDAC4;TAF1D;POLR1A;DDX21"
"regulation of DNA metabolic process (GO:0051052)","3/46",0.020150473661963,0.346213344388581,0,0,5.52115438498179,21.557499039947,"WRNIP1;SMG5;KPNA1"
"protein-containing complex assembly (GO:0065003)","8/267",0.020292314820747,0.346213344388581,0,0,2.4671181720362,9.61562525875376,"TLE3;CDC123;DBNL;OPA1;TRAPPC10;RIPK1;MDM4;MDN1"
"alternative mRNA splicing, via spliceosome (GO:0000380)","2/18",0.0211844439649738,0.346213344388581,0,0,9.866,38.028380007848,"HNRNPM;SFPQ"
"regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798)","2/18",0.0211844439649738,0.346213344388581,0,0,9.866,38.028380007848,"NCOR1;RIPK1"
"regulation of transcription by RNA polymerase I (GO:0006356)","2/18",0.0211844439649738,0.346213344388581,0,0,9.866,38.028380007848,"UTP15;HEATR1"
"positive regulation of mRNA splicing, via spliceosome (GO:0048026)","2/18",0.0211844439649738,0.346213344388581,0,0,9.866,38.028380007848,"THRAP3;NUP98"
"cellular response to ionizing radiation (GO:0071479)","3/48",0.0225439524239593,0.346213344388581,0,0,5.27523427041499,20.005209911347,"MAP3K20;GRB2;ATR"
"myelination (GO:0042552)","3/48",0.0225439524239593,0.346213344388581,0,0,5.27523427041499,20.005209911347,"SKI;ACER3;B4GALT5"
"rRNA processing (GO:0006364)","6/173",0.0225818645531671,0.346213344388581,0,0,2.85979260990215,10.8403531693764,"UTP15;NOP58;UTP4;HEATR1;UTP20;MDN1"
"regulation of Ras protein signal transduction (GO:0046578)","4/86",0.0233882487262243,0.346213344388581,0,0,3.86821400472069,14.5271611473675,"DENND1A;MAPKAP1;DENND3;GRB2"
"DNA alkylation (GO:0006305)","2/19",0.0234826578126709,0.346213344388581,0,0,9.28517647058823,34.8332754215896,"BEND3;EHMT1"
"DNA methylation or demethylation (GO:0044728)","2/19",0.0234826578126709,0.346213344388581,0,0,9.28517647058823,34.8332754215896,"BEND3;EHMT1"
"dopamine metabolic process (GO:0042417)","2/19",0.0234826578126709,0.346213344388581,0,0,9.28517647058823,34.8332754215896,"GCH1;COMT"
"folic acid metabolic process (GO:0046655)","2/19",0.0234826578126709,0.346213344388581,0,0,9.28517647058823,34.8332754215896,"MTHFD2;MTHFS"
"neuromuscular process (GO:0050905)","2/19",0.0234826578126709,0.346213344388581,0,0,9.28517647058823,34.8332754215896,"GCH1;PAFAH1B1"
"NLS-bearing protein import into nucleus (GO:0006607)","2/19",0.0234826578126709,0.346213344388581,0,0,9.28517647058823,34.8332754215896,"KPNB1;KPNA1"
"pore complex assembly (GO:0046931)","2/19",0.0234826578126709,0.346213344388581,0,0,9.28517647058823,34.8332754215896,"NUP153;NUP98"
"positive regulation of cilium assembly (GO:0045724)","2/19",0.0234826578126709,0.346213344388581,0,0,9.28517647058823,34.8332754215896,"HTT;SEPTIN9"
"negative regulation of catabolic process (GO:0009895)","3/49",0.0237962076403011,0.347758613410014,0,0,5.16029334730225,19.2903585172515,"HDAC4;NCOR1;MDM4"
"amino acid transport (GO:0006865)","3/50",0.0250854565641033,0.357738453165198,0,0,5.05024352730069,18.6125059655105,"SLC7A6;SLC3A2;SLC7A1"
"regulation of generation of precursor metabolites and energy (GO:0043467)","3/50",0.0250854565641033,0.357738453165198,0,0,5.05024352730069,18.6125059655105,"NUP210;NUP153;NUP98"
"regulation of translation (GO:0006417)","6/178",0.0255233737464606,0.357738453165198,0,0,2.77595008508225,10.1826308105754,"LARP1;LARP4B;PUS7;LARP4;GSPT1;EIF4B"
"folic acid-containing compound metabolic process (GO:0006760)","2/20",0.0258781982906275,0.357738453165198,0,0,8.76888888888889,32.0446279537835,"MTHFD2;MTHFS"
"organic cation transport (GO:0015695)","2/20",0.0258781982906275,0.357738453165198,0,0,8.76888888888889,32.0446279537835,"SLC25A19;SLC22A1"
"transforming growth factor beta receptor signaling pathway (GO:0007179)","4/89",0.0261260839599771,0.357738453165198,0,0,3.73111954459203,13.5992631616627,"SKI;USP9Y;PXN;TGFBR1"
"post-Golgi vesicle-mediated transport (GO:0006892)","4/89",0.0261260839599771,0.357738453165198,0,0,3.73111954459203,13.5992631616627,"ARF1;GBF1;DTNBP1;COMMD1"
"intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)","3/51",0.026411662508595,0.357738453165198,0,0,4.94477911646586,17.9690781155537,"BCL2A1;BCL2;HIPK2"
"positive regulation of actin filament bundle assembly (GO:0032233)","3/51",0.026411662508595,0.357738453165198,0,0,4.94477911646586,17.9690781155537,"GPR65;PXN;TGFBR1"
"protein complex oligomerization (GO:0051259)","4/90",0.0270796298800311,0.363827930484934,0,0,3.68754688672168,13.3082589893248,"EHD4;OPA1;BEND3;TP53BP1"
"plasma membrane bounded cell projection morphogenesis (GO:0120039)","3/52",0.0277747703553998,0.370182139296769,0,0,4.84361937546103,17.3577261961623,"DBNL;TAOK3;DTNBP1"
"extrinsic apoptotic signaling pathway in absence of ligand (GO:0097192)","2/21",0.0283682685696115,0.372138074306873,0,0,8.30694736842105,29.5933676067903,"BCL2A1;BCL2"
"neurotrophin signaling pathway (GO:0038179)","2/21",0.0283682685696115,0.372138074306873,0,0,8.30694736842105,29.5933676067903,"KIDINS220;GRB2"
"positive regulation of macroautophagy (GO:0016239)","3/53",0.0291747071519043,0.376132176689415,0,0,4.74650602409639,16.7763031137678,"LARP1;GNAI3;HTT"
"regulation of adenylate cyclase activity (GO:0045761)","2/22",0.0309501263488297,0.376132176689415,0,0,7.8912,27.4249044321651,"STIM1;GNAI3"
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)","2/22",0.0309501263488297,0.376132176689415,0,0,7.8912,27.4249044321651,"UTP20;URB1"
"positive regulation of translational initiation (GO:0045948)","2/22",0.0309501263488297,0.376132176689415,0,0,7.8912,27.4249044321651,"CDC123;LARP1"
"protein sumoylation (GO:0016925)","3/55",0.0320846904390421,0.376132176689415,0,0,4.56348470806302,15.6955411319711,"NUP210;NUP153;NUP98"
"regulation of gene silencing by RNA (GO:0060966)","3/55",0.0320846904390421,0.376132176689415,0,0,4.56348470806302,15.6955411319711,"NUP210;NUP153;NUP98"
"regulation of posttranscriptional gene silencing (GO:0060147)","3/55",0.0320846904390421,0.376132176689415,0,0,4.56348470806302,15.6955411319711,"NUP210;NUP153;NUP98"
"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154)","3/55",0.0320846904390421,0.376132176689415,0,0,4.56348470806302,15.6955411319711,"PLAUR;XIAP;NAIP"
"positive regulation of response to DNA damage stimulus (GO:2001022)","3/55",0.0320846904390421,0.376132176689415,0,0,4.56348470806302,15.6955411319711,"BABAM2;EYA3;ATR"
"artery development (GO:0060840)","2/23",0.0336210829554412,0.376132176689415,0,0,7.51504761904762,25.4955651306516,"TGFBR1;ROBO1"
"DNA catabolic process, endonucleolytic (GO:0000737)","2/23",0.0336210829554412,0.376132176689415,0,0,7.51504761904762,25.4955651306516,"KPNB1;KPNA1"
"DNA methylation (GO:0006306)","2/23",0.0336210829554412,0.376132176689415,0,0,7.51504761904762,25.4955651306516,"BEND3;EHMT1"
"vesicle transport along microtubule (GO:0047496)","2/23",0.0336210829554412,0.376132176689415,0,0,7.51504761904762,25.4955651306516,"HTT;PAFAH1B1"
"negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)","2/23",0.0336210829554412,0.376132176689415,0,0,7.51504761904762,25.4955651306516,"EYA3;BCL2"
"negative regulation of signal transduction in absence of ligand (GO:1901099)","2/23",0.0336210829554412,0.376132176689415,0,0,7.51504761904762,25.4955651306516,"EYA3;BCL2"
"positive regulation of mRNA processing (GO:0050685)","2/23",0.0336210829554412,0.376132176689415,0,0,7.51504761904762,25.4955651306516,"THRAP3;NUP98"
"positive regulation of transcription by RNA polymerase I (GO:0045943)","2/23",0.0336210829554412,0.376132176689415,0,0,7.51504761904762,25.4955651306516,"UTP15;HEATR1"
"Ras protein signal transduction (GO:0007265)","5/142",0.0340790020194342,0.376132176689415,0,0,2.8976920121753,9.79151533532983,"USP8;DBNL;GRB2;RALGDS;KPNB1"
"nitrogen compound transport (GO:0071705)","5/143",0.0349653928816576,0.376132176689415,0,0,2.87654755618142,9.64620445365917,"SLC7A6;SLC22A1;SLC3A2;SLC7A1;RAB7A"
"carboxylic acid transport (GO:0046942)","3/57",0.0351406956128832,0.376132176689415,0,0,4.39402052655065,14.7129181227698,"SLC7A6;SLC3A2;SLC7A1"
"DNA repair (GO:0006281)","8/298",0.0356842454076176,0.376132176689415,0,0,2.19988694177501,7.33232435569618,"BABAM2;EYA3;WRNIP1;ASCC2;TP53BP1;COMMD1;ATR;WDR33"
"amino acid import across plasma membrane (GO:0089718)","2/24",0.0363785024116937,0.376132176689415,0,0,7.17309090909091,23.7700256237719,"SLC3A2;SLC7A1"
"apoptotic nuclear changes (GO:0030262)","2/24",0.0363785024116937,0.376132176689415,0,0,7.17309090909091,23.7700256237719,"KPNB1;KPNA1"
"establishment of mitotic spindle orientation (GO:0000132)","2/24",0.0363785024116937,0.376132176689415,0,0,7.17309090909091,23.7700256237719,"HTT;PAFAH1B1"
"response to gamma radiation (GO:0010332)","2/24",0.0363785024116937,0.376132176689415,0,0,7.17309090909091,23.7700256237719,"MAP3K20;ATR"
"positive regulation of stress-activated MAPK cascade (GO:0032874)","4/99",0.0365951048793263,0.376132176689415,0,0,3.33667232597623,11.0371808360289,"TAOK3;RIPK1;EDA2R;HIPK2"
"positive regulation of translation (GO:0045727)","4/100",0.0377569145088387,0.376132176689415,0,0,3.30174731182796,10.8184611776838,"CDC123;LARP1;LARP4B;LARP4"
"positive regulation of apoptotic signaling pathway (GO:2001235)","3/59",0.0383415589355921,0.376132176689415,0,0,4.23666092943201,13.8166870903807,"BCL2;RIPK1;TGFBR1"
"negative regulation of cellular carbohydrate metabolic process (GO:0010677)","2/25",0.0392198005563441,0.376132176689415,0,0,6.86086956521739,22.2194306591851,"HDAC4;NCOR1"
"organophosphate ester transport (GO:0015748)","2/25",0.0392198005563441,0.376132176689415,0,0,6.86086956521739,22.2194306591851,"SLC25A19;PITPNB"
"phosphatidylinositol dephosphorylation (GO:0046856)","2/25",0.0392198005563441,0.376132176689415,0,0,6.86086956521739,22.2194306591851,"INPP5B;MTMR6"
"positive regulation of cell growth (GO:0030307)","4/102",0.0401435612806474,0.376132176689415,0,0,3.23403554970375,10.3983725699226,"RPTOR;DBNL;BCL2;TGFBR1"
"chromatin remodeling (GO:0006338)","4/103",0.0413684138413333,0.376132176689415,0,0,3.20120560443141,10.1966005847365,"HDAC4;PBRM1;KDM5D;ARID1A"
"regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739)","2/26",0.0421424441724054,0.376132176689415,0,0,6.57466666666667,20.8199960854939,"BCL2;YWHAG"
"histone methylation (GO:0016571)","2/26",0.0421424441724054,0.376132176689415,0,0,6.57466666666667,20.8199960854939,"NSD1;EHMT1"
"positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740)","2/26",0.0421424441724054,0.376132176689415,0,0,6.57466666666667,20.8199960854939,"BCL2;YWHAG"
"ncRNA processing (GO:0034470)","6/201",0.042307193213362,0.376132176689415,0,0,2.44565353345841,7.73510848354268,"UTP15;NOP58;UTP4;HEATR1;UTP20;MDN1"
"double-strand break repair via nonhomologous end joining (GO:0006303)","3/62",0.043411357283874,0.376132176689415,0,0,4.02062487237084,12.6128376638254,"BABAM2;KDM2A;TP53BP1"
