"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"negative regulation of transcription by RNA polymerase II (GO:0000122)","10/684",0.0101818484237211,0.175056341320117,0,0,2.49908896871258,11.4636927397622,"SDCBP;PLK3;ZFP36;ID2;PRDM5;MDM2;ENO1;PSEN1;ETV5;GATAD2B"
"regulation of epidermal cell differentiation (GO:0045604)","2/25",0.010421036066738,0.176079574920745,0,0,14.1503920171062,64.5813818988699,"ZFP36;ZFP36L1"
"negative regulation of receptor-mediated endocytosis (GO:0048261)","2/26",0.0112440495200818,0.186765568299664,0,0,13.5601092896175,60.85663445044,"SDCBP;PSEN1"
"positive regulation of gene silencing by miRNA (GO:2000637)","2/27",0.0120947557122399,0.194309190131067,0,0,13.0170491803279,57.4700551700171,"ZFP36;AGO2"
"response to glucocorticoid (GO:0051384)","2/27",0.0120947557122399,0.194309190131067,0,0,13.0170491803279,57.4700551700171,"ZFP36;ZFP36L1"
"cellular response to epidermal growth factor stimulus (GO:0071364)","2/28",0.0129727853808443,0.198645776144178,0,0,12.515762925599,54.3797577105315,"ZFP36;ZFP36L1"
"regulation of muscle contraction (GO:0006937)","2/28",0.0129727853808443,0.198645776144178,0,0,12.515762925599,54.3797577105315,"CHRM2;ENO1"
"regulation of plasma membrane bounded cell projection organization (GO:0120035)","2/28",0.0129727853808443,0.198645776144178,0,0,12.515762925599,54.3797577105315,"ZNF804A;PSEN1"
"regulation of fat cell differentiation (GO:0045598)","3/80",0.0135143339158824,0.203754572885611,0,0,6.37512074702157,27.438547651817,"ZFP36;ID2;ZFP36L1"
"production of miRNAs involved in gene silencing by miRNA (GO:0035196)","2/29",0.0138777727130339,0.206063897860201,0,0,12.0516089860352,51.5503573742459,"AGO4;AGO2"
"cellular response to organic cyclic compound (GO:0071407)","4/150",0.0142488678091184,0.207114088363814,0,0,4.50456621004566,19.1492615376509,"P2RY6;IL18;SPP1;ZFP36L1"
"inflammatory response (GO:0006954)","5/230",0.0143711816415708,0.207114088363814,0,0,3.66965452847806,15.5686207203214,"PARP4;SLC11A1;IL18;RELB;ABCF1"
"negative regulation of transcription, DNA-templated (GO:0045892)","12/948",0.014748067189856,0.207330974419231,0,0,2.16804029304029,9.14185245167628,"SDCBP;PLK3;ZFP36;RBFOX2;ID2;PRDM5;SCMH1;MDM2;ENO1;PSEN1;ETV5;GATAD2B"
"positive regulation of phosphate metabolic process (GO:0045937)","2/30",0.0148093553156594,0.207330974419231,0,0,11.6206088992974,48.9517706206924,"SDCBP;PSEN1"
"regulation of gene expression (GO:0010468)","13/1079",0.016434392065972,0.226840904572571,0,0,2.06657877389585,8.49028896620894,"TFRC;SETDB1;SLC11A1;PRDM5;ZNF804A;PSEN1;ZFP36L1;HNRNPDL;AGO4;ID2;AGO2;TRIM38;FADS1"
"positive regulation of ATP metabolic process (GO:1903580)","2/33",0.0177601015645607,0.241734715739854,0,0,10.4944473823374,42.301027142604,"ENO1;PSEN1"
"regulation of keratinocyte differentiation (GO:0045616)","2/34",0.0187945087853044,0.24240279384335,0,0,10.1659836065574,40.4015558555905,"ZFP36;ZFP36L1"
"histone lysine methylation (GO:0034968)","2/34",0.0187945087853044,0.24240279384335,0,0,10.1659836065574,40.4015558555905,"SETDB1;PRDM5"
"positive regulation of release of sequestered calcium ion into cytosol (GO:0051281)","2/34",0.0187945087853044,0.24240279384335,0,0,10.1659836065574,40.4015558555905,"P2RY6;CALM2"
"cellular response to fibroblast growth factor stimulus (GO:0044344)","3/92",0.0195838200851954,0.24240279384335,0,0,5.51221097594948,21.6798099753649,"ZFP36;RBFOX2;ZFP36L1"
"positive regulation of immunoglobulin production (GO:0002639)","2/35",0.0198537496701912,0.24240279384335,0,0,9.85742672627918,38.6348275675094,"GPI;TFRC"
"intracellular pH reduction (GO:0051452)","2/35",0.0198537496701912,0.24240279384335,0,0,9.85742672627918,38.6348275675094,"ATP6V0E1;SLC11A1"
"positive regulation of multicellular organismal process (GO:0051240)","6/345",0.0206555004648861,0.24240279384335,0,0,2.93040347982601,11.3693021424972,"SDCBP;TFRC;SLC11A1;AGO2;IL18;ENO1"
"positive regulation of myeloid leukocyte differentiation (GO:0002763)","2/36",0.0209374817788328,0.24240279384335,0,0,9.56702025072324,36.9881508811823,"ID2;ZFP36L1"
"transferrin transport (GO:0033572)","2/36",0.0209374817788328,0.24240279384335,0,0,9.56702025072324,36.9881508811823,"ATP6V0E1;TFRC"
"transition metal ion transport (GO:0000041)","2/36",0.0209374817788328,0.24240279384335,0,0,9.56702025072324,36.9881508811823,"TFRC;SLC11A1"
"Wnt signaling pathway, calcium modulating pathway (GO:0007223)","2/36",0.0209374817788328,0.24240279384335,0,0,9.56702025072324,36.9881508811823,"AGO4;AGO2"
"regulation of erythrocyte differentiation (GO:0045646)","2/37",0.0220453659011323,0.24240279384335,0,0,9.29320843091335,35.4503641417763,"ZFP36;ZFP36L1"
"positive regulation of cell differentiation (GO:0045597)","5/258",0.022403926744827,0.24240279384335,0,0,3.25887667319892,12.3789050738308,"SDCBP;ZFP36;ID2;IL18;ZFP36L1"
"mRNA destabilization (GO:0061157)","2/38",0.0231770660321676,0.24240279384335,0,0,9.03460837887067,34.0116146279468,"ZFP36;ZFP36L1"
"positive regulation of cation channel activity (GO:2001259)","2/40",0.0255105861711504,0.24240279384335,0,0,8.55823986194996,31.3972873914633,"P2RY6;CALM2"
"gluconeogenesis (GO:0006094)","2/41",0.0267117499592554,0.24240279384335,0,0,8.33837746952501,30.207037623732,"GPI;ENO1"
"hexose biosynthetic process (GO:0019319)","2/44",0.0304489840055205,0.24240279384335,0,0,7.7416081186573,27.0313935938269,"GPI;ENO1"
"intracellular steroid hormone receptor signaling pathway (GO:0030518)","2/44",0.0304489840055205,0.24240279384335,0,0,7.7416081186573,27.0313935938269,"RBFOX2;PADI2"
"mRNA catabolic process (GO:0006402)","2/44",0.0304489840055205,0.24240279384335,0,0,7.7416081186573,27.0313935938269,"ZFP36;AGO4"
"mRNA stabilization (GO:0048255)","2/44",0.0304489840055205,0.24240279384335,0,0,7.7416081186573,27.0313935938269,"ZFP36;SLC11A1"
"negative regulation of B cell differentiation (GO:0045578)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"ID2"
"cadmium ion transmembrane transport (GO:0070574)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"SLC11A1"
"cadmium ion transport (GO:0015691)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"SLC11A1"
"regulation of cellular response to osmotic stress (GO:0106049)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"LETM1"
"regulation of core promoter binding (GO:1904796)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"PSEN1"
"cellular response to antibiotic (GO:0071236)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"MDM2"
"regulation of glycoprotein metabolic process (GO:1903018)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"RAB1A"
"cellular response to salt stress (GO:0071472)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"ZFP36L1"
"cellular response to testosterone stimulus (GO:0071394)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"SPP1"
"regulation of inositol trisphosphate biosynthetic process (GO:0032960)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"P2RY6"
"regulation of low-density lipoprotein particle receptor catabolic process (GO:0032803)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"ANXA2"
"regulation of NK T cell proliferation (GO:0051140)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"IL18"
"double-strand break repair via synthesis-dependent strand annealing (GO:0045003)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"FANCM"
"regulation of protein monoubiquitination (GO:1902525)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"FANCM"
"regulation of T-helper 1 cell cytokine production (GO:2000554)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"IL18"
"fructose transmembrane transport (GO:0015755)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"SLC2A5"
"positive regulation of glycoprotein metabolic process (GO:1903020)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"RAB1A"
"response to fructose (GO:0009750)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"SLC2A5"
"His-Purkinje system development (GO:0003164)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"ID2"
"histone citrullination (GO:0036414)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"PADI2"
"response to salt stress (GO:0009651)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"ZFP36L1"
"positive regulation of low-density lipoprotein receptor activity (GO:1905599)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"ANXA2"
"positive regulation of metallopeptidase activity (GO:1905050)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"MBP"
"positive regulation of natural killer cell proliferation (GO:0032819)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"IL18"
"positive regulation of protein monoubiquitination (GO:1902527)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"FANCM"
"meiotic mismatch repair (GO:0000710)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"MSH5"
"positive regulation of T-helper 1 cell cytokine production (GO:2000556)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"IL18"
"protein citrullination (GO:0018101)","1/5",0.0306208123732578,0.24240279384335,0,0,40.390243902439,140.803433983989,"PADI2"
"positive regulation of gene expression (GO:0010628)","7/482",0.0306592155175038,0.24240279384335,0,0,2.44367071524966,8.51575745063468,"TFRC;AGO4;SLC11A1;ID2;AGO2;ZNF804A;PSEN1"
"interleukin-12-mediated signaling pathway (GO:0035722)","2/46",0.0330487598960871,0.24240279384335,0,0,7.38897168405365,25.1947031077909,"HNRNPDL;ANXA2"
"cellular response to interleukin-12 (GO:0071349)","2/48",0.0357322664499925,0.24240279384335,0,0,7.06699928724163,23.5451298379964,"HNRNPDL;ANXA2"
"negative regulation of cellular response to hypoxia (GO:1900038)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"ENO1"
"negative regulation of chemokine-mediated signaling pathway (GO:0070100)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"PADI2"
"regulation of extracellular exosome assembly (GO:1903551)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"SDCBP"
"cellular response to granulocyte macrophage colony-stimulating factor stimulus (GO:0097011)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"ZFP36"
"positive regulation of antigen processing and presentation (GO:0002579)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"SLC11A1"
"positive regulation of dendritic cell antigen processing and presentation (GO:0002606)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"SLC11A1"
"growth hormone secretion (GO:0030252)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"RAB1A"
"positive regulation of hemoglobin biosynthetic process (GO:0046985)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"SLC25A37"
"response to granulocyte macrophage colony-stimulating factor (GO:0097012)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"ZFP36"
"hexose import across plasma membrane (GO:0140271)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"SLC2A5"
"response to testosterone (GO:0033574)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"SPP1"
"positive regulation of lipoprotein particle clearance (GO:0010986)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"ANXA2"
"positive regulation of plasminogen activation (GO:0010756)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"ENO1"
"macromolecule biosynthetic process (GO:0009059)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"SLC11A1"
"positive regulation of receptor binding (GO:1900122)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"ANXA2"
"membrane raft assembly (GO:0001765)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"ANXA2"
"positive regulation of T-helper 2 cell differentiation (GO:0045630)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"IL18"
"presynaptic active zone organization (GO:1990709)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"PCLO"
"N-acetylneuraminate catabolic process (GO:0019262)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"NPL"
"negative regulation of amyloid precursor protein biosynthetic process (GO:0042985)","1/6",0.0366324477864725,0.24240279384335,0,0,32.3105691056911,106.845264556486,"AGO2"
"regulation of smooth muscle cell proliferation (GO:0048660)","2/49",0.0371046571441088,0.24240279384335,0,0,6.91628880362749,22.7823437629634,"ID2;IL18"
"RNA catabolic process (GO:0006401)","2/49",0.0371046571441088,0.24240279384335,0,0,6.91628880362749,22.7823437629634,"ZFP36;AGO4"
"innate immune response (GO:0045087)","5/302",0.0400870582222178,0.24240279384335,0,0,2.76985541691424,8.90979872351767,"SLC11A1;CLEC5A;TRIM38;TREM1;RELB"
"chemical synaptic transmission (GO:0007268)","5/306",0.0420202876268543,0.24240279384335,0,0,2.73248834417488,8.6609025388614,"CHRM2;SDCBP;SST;RIMBP2;MBP"
"negative regulation of cell cycle phase transition (GO:1901988)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"ZFP36L1"
"amino sugar catabolic process (GO:0046348)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"NPL"
"negative regulation of double-strand break repair via nonhomologous end joining (GO:2001033)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"CYREN"
"calcium ion export (GO:1901660)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"LETM1"
"negative regulation of low-density lipoprotein receptor activity (GO:1905598)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"PSEN1"
"negative regulation of lymphocyte differentiation (GO:0045620)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"ID2"
"regulation of chromatin assembly or disassembly (GO:0001672)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"PADI2"
"cellular cation homeostasis (GO:0030003)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"LETM1"
"cellular response to interleukin-18 (GO:0071351)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"IL18"
"regulation of hemoglobin biosynthetic process (GO:0046984)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"SLC25A37"
"neuron projection arborization (GO:0140058)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"PHACTR1"
"Notch receptor processing, ligand-dependent (GO:0035333)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"PSEN1"
"regulation of miRNA mediated inhibition of translation (GO:1905616)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"AGO2"
"dendrite arborization (GO:0140059)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"PHACTR1"
"regulation of natural killer cell proliferation (GO:0032817)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"IL18"
"positive regulation of chemokine (C-X-C motif) ligand 2 production (GO:2000343)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"MBP"
"Golgi disassembly (GO:0090166)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"PLK3"
"hemostasis (GO:0007599)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"GPI"
"positive regulation of miRNA mediated inhibition of translation (GO:1905618)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"AGO2"
"interleukin-18-mediated signaling pathway (GO:0035655)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"IL18"
"positive regulation of NK T cell activation (GO:0051135)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"IL18"
"substrate-dependent cell migration, cell extension (GO:0006930)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"SDCBP"
"malate metabolic process (GO:0006108)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"ME1"
"positive regulation of trophoblast cell migration (GO:1901165)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"AGO2"
"positive regulation of vesicle fusion (GO:0031340)","1/7",0.0426071023827974,0.24240279384335,0,0,26.9241192411924,84.965367044501,"ANXA2"
"positive regulation of chemokine production (GO:0032722)","2/53",0.0427915136070404,0.24240279384335,0,0,6.37254901960784,20.0825496036421,"IL18;MBP"
"cytoplasmic microtubule organization (GO:0031122)","2/54",0.0442610891915982,0.247508210065086,0,0,6.24968474148802,19.4843254827844,"PLK3;TUBGCP2"
